,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,10,34,1,4,0,0
0:10:00,,,,,,
0:15:00,,,,,,
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,,,,,,
0:50:00,,,,,,
0:55:00,,,,,,
1:00:00,,,,,,
1:05:00,,,,,,
1:10:00,,,,,,
1:15:00,,,,,,
1:20:00,,,,,,
1:25:00,,,,,,
1:30:00,,,,,,
1:35:00,,,,,,
1:40:00,,,,,,
1:45:00,,,,,,
1:50:00,,,,,,
1:55:00,,,,,,
2:00:00,,,,,,
2:05:00,,,,,,
2:10:00,,,,,,
2:15:00,,,,,,
2:20:00,,,,,,
2:25:00,,,,,,
2:30:00,,,,,,
2:35:00,,,,,,
2:40:00,,,,,,
2:45:00,10,34,1,4,0,0
2:50:00,10,34,1,4,0,0
2:55:00,10,34,1,4,0,0
3:00:00,10,34,1,4,0,0
3:05:00,,,,,,
3:10:00,,,,,,
3:15:00,,,,,,
3:20:00,,,,,,
3:25:00,,,,,,
3:30:00,,,,,,
3:35:00,,,,,,
3:40:00,,,,,,
3:45:00,,,,,,
3:50:00,,,,,,
3:55:00,,,,,,
4:00:00,,,,,,
4:05:00,,,,,,
4:10:00,,,,,,
4:15:00,,,,,,
4:20:00,,,,,,
4:25:00,,,,,,
4:30:00,,,,,,
4:35:00,,,,,,
4:40:00,,,,,,
4:45:00,,,,,,
4:50:00,,,,,,
4:55:00,,,,,,
5:00:00,,,,,,
5:05:00,,,,,,
5:10:00,,,,,,
5:15:00,,,,,,
5:20:00,,,,,,
5:25:00,,,,,,
5:30:00,,,,,,
5:35:00,,,,,,
5:40:00,,,,,,
5:45:00,,,,,,
5:50:00,,,,,,
5:55:00,,,,,,
6:00:00,,,,,,
6:05:00,,,,,,
6:10:00,,,,,,
6:15:00,,,,,,
6:20:00,,,,,,
6:25:00,,,,,,
6:30:00,,,,,,
6:35:00,,,,,,
6:40:00,,,,,,
6:45:00,,,,,,
6:50:00,,,,,,
6:55:00,,,,,,
7:00:00,,,,,,
7:05:00,,,,,,
7:10:00,,,,,,
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,50,84,26,36,0,5
9:10:00,97,144,53,64,5,8
9:15:00,140,191,73,84,10,10
9:20:00,202,258,101,119,14,15
9:25:00,259,324,121,164,15,18
9:30:00,324,375,143,190,18,26
9:35:00,380,439,163,227,23,31
9:40:00,434,500,190,250,29,34
9:45:00,481,565,208,277,32,38
9:50:00,543,626,226,314,33,39
9:55:00,588,676,241,354,36,45
10:00:00,649,721,263,380,41,45
10:05:00,727,764,284,398,46,47
10:10:00,797,805,304,423,49,48
10:15:00,853,849,331,448,49,49
10:20:00,933,909,346,465,49,51
10:25:00,998,973,356,474,53,51
10:30:00,1078,1030,378,492,55,52
10:35:00,1169,1080,398,514,58,53
10:40:00,1234,1131,423,538,61,53
10:45:00,1325,1180,440,556,63,54
10:50:00,1415,1247,454,565,63,55
10:55:00,1510,1312,470,584,63,58
11:00:00,1594,1376,487,595,64,59
11:05:00,1686,1441,499,606,66,60
11:10:00,1781,1510,515,615,68,63
11:15:00,1857,1573,529,633,69,64
11:20:00,1940,1635,538,650,72,67
11:25:00,2026,1702,555,668,73,71
11:30:00,2127,1758,575,684,74,72
11:35:00,2229,1821,593,703,79,74
11:40:00,2309,1880,616,725,81,78
11:45:00,2409,1942,638,756,85,82
11:50:00,2500,1993,656,782,87,86
11:55:00,2575,2055,683,808,91,89
12:00:00,2677,2108,713,830,94,94
12:05:00,2771,2164,740,856,98,101
12:10:00,2849,2226,765,874,99,104
12:15:00,2947,2277,791,897,102,106
12:20:00,3017,2333,820,921,105,107
