,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,,,,,,
0:10:00,,,,,,
0:15:00,,,,,,
0:20:00,,,,,,
0:25:00,,,,,,
0:30:00,,,,,,
0:35:00,,,,,,
0:40:00,,,,,,
0:45:00,26,38,0,0,0,3
0:50:00,33,67,0,1,0,3
0:55:00,51,93,1,1,1,4
1:00:00,67,125,1,2,1,4
1:05:00,83,146,1,3,2,4
1:10:00,100,170,1,3,2,4
1:15:00,114,200,1,3,3,4
1:20:00,130,225,1,3,3,4
1:25:00,139,247,2,4,3,4
1:30:00,146,264,2,4,3,4
1:35:00,158,280,2,4,3,5
1:40:00,171,294,2,5,3,6
1:45:00,188,306,2,5,3,6
1:50:00,203,317,2,5,4,6
1:55:00,219,337,3,5,4,8
2:00:00,234,351,3,7,4,8
2:05:00,249,370,4,7,4,8
2:10:00,257,381,4,8,5,9
2:15:00,260,395,4,12,5,9
2:20:00,262,407,6,16,5,9
2:25:00,272,417,7,17,5,9
2:30:00,284,428,7,17,5,11
2:35:00,296,436,8,18,5,11
2:40:00,313,447,9,19,6,11
2:45:00,329,462,9,20,9,11
2:50:00,346,473,9,20,9,11
2:55:00,362,489,10,20,9,11
3:00:00,381,494,10,21,10,11
3:05:00,399,504,10,21,10,11
3:10:00,418,513,10,21,10,11
3:15:00,433,525,10,21,11,11
3:20:00,452,533,10,21,13,11
3:25:00,472,539,11,21,14,12
3:30:00,501,546,12,21,16,12
3:35:00,526,560,12,21,17,13
3:40:00,555,568,12,22,17,13
3:45:00,593,577,12,22,17,13
3:50:00,629,587,13,22,18,13
3:55:00,,,,,,
4:00:00,,,,,,
4:05:00,,,,,,
4:10:00,,,,,,
4:15:00,,,,,,
4:20:00,,,,,,
4:25:00,,,,,,
4:30:00,,,,,,
4:35:00,,,,,,
4:40:00,,,,,,
4:45:00,,,,,,
4:50:00,,,,,,
4:55:00,,,,,,
5:00:00,,,,,,
5:05:00,,,,,,
5:10:00,,,,,,
5:15:00,,,,,,
5:20:00,,,,,,
5:25:00,,,,,,
5:30:00,,,,,,
5:35:00,,,,,,
5:40:00,,,,,,
5:45:00,,,,,,
5:50:00,,,,,,
5:55:00,,,,,,
6:00:00,,,,,,
6:05:00,,,,,,
6:10:00,,,,,,
6:15:00,,,,,,
6:20:00,,,,,,
6:25:00,,,,,,
6:30:00,,,,,,
6:35:00,,,,,,
6:40:00,,,,,,
6:45:00,,,,,,
6:50:00,,,,,,
6:55:00,,,,,,
7:00:00,,,,,,
7:05:00,,,,,,
7:10:00,,,,,,
7:15:00,,,,,,
7:20:00,,,,,,
7:25:00,,,,,,
7:30:00,,,,,,
7:35:00,,,,,,
7:40:00,,,,,,
7:45:00,,,,,,
7:50:00,,,,,,
7:55:00,,,,,,
8:00:00,,,,,,
8:05:00,,,,,,
8:10:00,,,,,,
8:15:00,,,,,,
8:20:00,,,,,,
8:25:00,,,,,,
8:30:00,,,,,,
8:35:00,,,,,,
8:40:00,,,,,,
8:45:00,,,,,,
8:50:00,,,,,,
8:55:00,,,,,,
9:00:00,,,,,,
9:05:00,,,,,,
9:10:00,,,,,,
9:15:00,,,,,,
9:20:00,,,,,,
9:25:00,,,,,,
9:30:00,,,,,,
9:35:00,,,,,,
9:40:00,726,676,30,29,23,17
9:45:00,814,768,47,34,30,22
9:50:00,929,866,64,38,33,26
9:55:00,1011,971,79,48,34,35
10:00:00,1112,1056,99,53,43,40
10:05:00,1216,1147,111,60,50,40
10:10:00,1314,1233,126,70,53,47
10:15:00,1424,1308,142,81,61,53
10:20:00,1533,1385,154,93,65,59
10:25:00,1641,1472,169,109,70,66
10:30:00,1735,1565,175,122,76,69
10:35:00,1845,1651,186,133,84,71
10:40:00,1942,1718,196,141,89,76
10:45:00,2051,1795,210,149,96,84
10:50:00,2181,1880,230,157,100,91
10:55:00,2274,1974,245,164,103,96
11:00:00,2364,2043,266,174,106,99
11:05:00,2467,2127,277,179,114,105
11:10:00,2579,2195,288,182,121,105
11:15:00,2662,2274,302,187,130,114
11:20:00,2768,2368,310,199,133,119
11:25:00,2872,2449,321,206,139,127
11:30:00,2991,2530,333,216,145,132
11:35:00,3105,2614,341,225,149,134
11:40:00,3221,2689,354,236,157,137
11:45:00,3327,2781,370,244,159,144
11:50:00,3472,2864,385,249,164,149
11:55:00,3573,2938,396,257,174,153
12:00:00,3697,3015,405,263,178,158
12:05:00,3806,3084,421,267,182,159
12:10:00,3900,3155,440,273,191,168
12:15:00,4048,3226,454,278,194,173
12:20:00,4149,3311,463,284,202,177
12:25:00,4284,3394,479,292,209,180
12:30:00,4382,3480,497,297,218,184
12:35:00,4498,3556,507,298,228,191
12:40:00,4610,3657,522,303,236,194
12:45:00,4726,3743,534,308,240,196
12:50:00,4824,3821,548,314,247,204
12:55:00,4917,3894,560,319,253,208
13:00:00,5017,3987,572,323,263,215
13:05:00,5106,4076,582,328,274,221
13:10:00,5195,4165,599,333,275,222
13:15:00,5304,4251,605,340,279,230
13:20:00,5401,4335,615,346,287,238
13:25:00,5502,4413,623,359,293,242
13:30:00,5585,4506,637,369,300,250
13:35:00,5689,4603,655,381,300,252
13:40:00,5815,4688,671,393,308,256
13:45:00,5926,4792,685,397,312,258
13:50:00,6024,4880,702,405,317,264
13:55:00,6109,4969,713,415,327,266
14:00:00,6210,5059,725,421,329,269
14:05:00,6313,5151,734,432,335,274
14:10:00,6388,5224,741,441,342,280
14:15:00,6493,5314,753,451,352,280
14:20:00,6593,5408,762,461,354,288
14:25:00,6684,5510,774,470,360,292
14:30:00,6790,5592,780,478,365,300
14:35:00,6898,5681,789,483,371,308
14:40:00,7003,5775,797,489,378,309
14:45:00,7102,5865,808,501,382,317
14:50:00,7228,5959,813,510,388,325
14:55:00,7333,6062,822,517,392,332
15:00:00,7436,6176,833,526,394,336
15:05:00,7514,6283,841,540,400,344
15:10:00,7642,6383,854,555,406,349
15:15:00,7739,6476,859,560,414,358
15:20:00,7840,6576,868,572,420,363
15:25:00,7959,6660,877,581,427,368
15:30:00,8023,6741,885,598,429,373
15:35:00,8093,6832,892,617,432,375
15:40:00,8201,6942,902,626,438,380
15:45:00,8307,7036,906,643,444,384
15:50:00,8405,7146,914,649,452,390
15:55:00,8508,7258,919,658,456,397
16:00:00,8620,7355,926,670,457,400
16:05:00,8723,7466,929,682,463,408
16:10:00,8834,7598,941,689,467,410
16:15:00,8954,7698,950,695,474,413
16:20:00,9074,7822,956,705,480,423
16:25:00,9188,7947,958,715,492,430
16:30:00,9291,8077,965,725,505,433
16:35:00,9390,8203,973,731,516,438
